uniprot,gene,Tm_prior_file_C,Tm_prior_measured,Tm_prior_particles_mean_C,Tm_post_mean_C,Tm_post_sd_C,Tm_shift_C,Topt_prior_file_C,Topt_prior_particles_mean_C,Topt_post_mean_C,Topt_post_sd_C,Topt_shift_C
P32476,ERG1,40.457656110000016,True,40.41838765715761,36.79440916730874,1.4685782364965296,-3.6632469426912735,34.0,26.410561448453393,24.000893628793506,3.8783246564966816,-9.999106371206494
P07251,ATP1,43.79550924,True,43.87722020456749,37.493721890678785,1.1578903439371306,-6.301787349321216,32.0,29.91862193646267,21.51047146788244,3.1851643992766463,-10.48952853211756
P40825,ALA1,42.68714743999999,True,43.140885461641346,40.631867790960484,3.070860040403715,-2.0552796490395053,35.0,28.682010301553873,24.765074766088333,6.717995791174409,-10.234925233911667
P15180,KRS1,42.49242416999999,True,42.83280976692265,40.87143979435234,2.4819754877625604,-1.6209843756476516,35.0,29.372498487497865,22.684210500093798,5.398658896863683,-12.315789499906202
P33330,SER1,42.41637502999998,True,43.01447113262719,41.12541987838165,2.7284008715175356,-1.2909551516183342,35.0,30.34771489547279,27.566295794014195,5.824322444247526,-7.433704205985805
P09950,HEM1,43.15063027999997,True,43.705746096651865,41.3032101958849,2.930293960042978,-1.8474200841150719,34.0,28.43397526708884,26.82459540683766,3.9696677416371604,-7.175404593162341
P32473,PDB1,42.08963552,True,42.81522791879735,41.40096147940773,2.8555219880896003,-0.6886740405922751,35.0,28.182281105766037,25.71669303629369,6.431597870459377,-9.283306963706309
P00330,ADH1,41.31786311999997,True,42.06398276111645,41.77252264239479,2.720451508301029,0.4546595223948202,41.0,30.564332095806208,27.936976472466483,4.399856601889251,-13.063023527533517
P00937,TRP3,41.60153372000002,True,42.124005537610344,41.8324811406888,2.727008231961932,0.2309474206887785,33.0,25.399743927010718,25.676918733678292,5.011939946347635,-7.323081266321708
P00927,ILV1,40.21979197000002,True,40.87097887122735,42.09861794859552,2.456862276737036,1.8788259785955006,33.0,26.60403396167203,27.022558952478278,5.0939160810919155,-5.977441047521722
P13298,URA5,43.37407060999999,True,43.47218354321046,42.29982244840966,4.21224478817434,-1.074248161590333,37.0,30.473712418386754,24.096283935137762,4.966180452084349,-12.903716064862238
P16550,APA1,42.457916710000006,True,42.87273954692779,42.81179460584826,1.9540063350046066,0.3538778958482567,36.0,29.27230395273807,27.874273681578472,2.9888263419015106,-8.125726318421528
P32799,COX13,43.183191669999985,True,43.82859014585989,43.059648643333844,2.59960126580048,-0.12354302666614103,39.0,31.359418026949015,30.522326335185824,4.625933911450541,-8.477673664814176
P32340,NDI1,43.40070603999999,True,43.84849457106793,43.21236995152907,2.700130995969425,-0.1883360884709191,33.0,29.05907408178075,23.81489512877414,7.665823196588186,-9.18510487122586
P14540,FBA1,42.77918131000001,True,43.28314743672945,43.457833284599246,2.978979824695417,0.6786519745992337,36.0,30.059044645010033,24.941884378802,6.997503991050265,-11.058115621197999
P20967,KGD1,44.01093567999999,True,44.4382637649278,43.47179770821333,1.7514687890038374,-0.5391379717866585,32.0,28.321635754023077,22.355306364109822,6.838626242859004,-9.644693635890178
P07170,ADK1,41.89117799999997,True,42.1304212127277,43.61725011463312,3.9679684912011175,1.7260721146331548,33.0,27.09425566015466,23.44712258849097,5.516667616314365,-9.55287741150903
P53164,NPY1,43.02479857000003,True,43.56087054314577,43.88649134217337,1.6586065261742666,0.8616927721733418,37.0,31.708948000891723,32.57952339794531,5.258054378838485,-4.420476602054691
P29509,TRR1,43.906688780000025,True,44.55211491479213,43.9161476818706,2.6619785544500307,0.0094589018705733,35.0,29.64451597303423,29.251033410880893,6.213041878578961,-5.748966589119107
P38625,GUA1,43.835285269999986,True,44.3806226308925,43.96778257384318,3.3982210117706586,0.1324973038431949,32.0,26.689979355533524,24.862052372460425,7.609713262337296,-7.137947627539575
P38720,GND1,44.210290120000025,True,44.623921852132014,43.97831135412781,3.392776930809302,-0.23197876587221344,34.0,29.923702161417395,28.2589824100437,4.045435259274829,-5.7410175899563
P04807,HXK2,43.04484910999997,True,43.64013975850122,44.08972529392378,2.0247866974331665,1.0448761839238045,35.0,29.900865199035366,28.13781706566209,6.478695870501155,-6.862182934337909
P26637,CDC60,43.55967528999997,True,43.943366751518454,44.16640083923983,2.614852422682041,0.6067255492398544,30.0,26.106667898196235,20.8668885145143,5.076207835732426,-9.1331114854857
P48445,BPL1,41.45369923999999,True,42.070634379484034,44.22962998835652,1.9940496860030328,2.7759307483565294,39.0,30.48849980024511,27.2415389531061,5.874263777850983,-11.758461046893899
P07991,CAR2,42.41237281999997,True,42.47107831691096,44.30777535054125,3.335828094492704,1.8954025305412756,32.0,28.32371446499542,24.667861871033494,4.221125735597229,-7.3321381289665055
Q06685,VIP1,44.45600445000002,True,45.180735335569466,44.31247833558842,2.1478672740452183,-0.1435261144115998,32.0,27.909027053117256,21.316528122984096,7.2593764922509685,-10.683471877015904
P32288,GLN1,42.28097857,True,43.11624837345789,44.32370937267842,1.818608895078321,2.0427308026784203,37.0,29.730953477199478,24.242069611554882,7.666530875883663,-12.757930388445118
P17695,GRX2,43.30360209000003,True,43.44259813261675,44.3988953276513,2.1877624632625166,1.0952932376512763,34.0,29.28840801988366,26.224923418096353,5.709615640238258,-7.775076581903647
Q06625,GDB1,41.931076570000016,True,41.997128208013464,44.41151845868467,4.083809693102971,2.480441888684652,39.0,31.263376336466536,27.838880800735865,4.769074509307863,-11.161119199264135
P39692,MET10,43.492094699999996,True,44.02998639247335,44.49847546404516,2.597168500340241,1.0063807640451614,35.0,29.343619724100677,27.233129053856487,5.21815216555201,-7.766870946143513
P38791,DYS1,42.152431999999976,True,42.52367365114196,44.58634826537963,1.9710039770397652,2.4339162653796507,34.0,28.289137678507927,25.194749541421913,3.513560165052906,-8.805250458578087
Q00955,ACC1,43.87862720999999,True,44.37850133722782,44.64356726468549,3.1335784868053467,0.7649400546854963,33.0,28.266725907136674,29.140698152504854,5.268690681097109,-3.8593018474951464
P38088,GRS1,43.89319619999998,True,44.05729880214568,44.70134403796908,3.8483959796357516,0.8081478379691021,35.0,29.855920556310195,26.458130571753713,6.177032285227083,-8.541869428246287
