rxn_id,Topt,Tm,Length,T90,dCpt,source,best_gene
R00894__cyto,303.712027,325.371131,753,,-4000.0,seq2topt_seq2tm,XP_085453936.1
R03416__mito,307.79592,326.830152,1541,,-4000.0,median,
R03936__cyto,319.20629,325.308767,453,,-4000.0,seq2topt_seq2tm,XP_085453106.1
R00658__cyto,311.811078,329.731503,439,,-4000.0,seq2topt_seq2tm,XP_085453107.1
R00763__cyto,305.91118,326.109538,451,,-4000.0,seq2topt_seq2tm,XP_085455657.1
R12120__cyto,300.560579,328.73123,524,,-4000.0,seq2topt_seq2tm,XP_085452763.1
R08657__mito,303.207142,327.103516,649,,-4000.0,seq2topt_seq2tm,XP_085454125.1
R04355__cyto,307.79592,326.830152,1150,,-4000.0,median,
R04591__cyto,308.465094,326.770654,307,,-4000.0,seq2topt_seq2tm,XP_085454692.1
R02485__cyto,300.819579,332.512072,139,,-4000.0,seq2topt_seq2tm,XP_085455436.1
R00527__cyto,308.380415,329.195663,286,,-4000.0,seq2topt_seq2tm,XP_085453380.1
R02590__cyto,306.675839,328.871641,425,,-4000.0,seq2topt_seq2tm,XP_085450973.1
R01351__cyto,307.79592,326.830152,454,,-4000.0,median,
R11104__pero,307.79592,326.830152,427,,-4000.0,median,
R03893__cyto,321.815586,332.367483,269,,-4000.0,seq2topt_seq2tm,XP_085450431.1
R00489__cyto,302.675959,325.438288,567,,-4000.0,seq2topt_seq2tm,XP_085453922.1
R03352__cyto,305.391497,326.722458,467,,-4000.0,seq2topt_seq2tm,XP_085453593.1
R04726__pero,307.79592,326.830152,1150,,-4000.0,median,
R00848__mito,303.207142,327.103516,649,,-4000.0,seq2topt_seq2tm,XP_085454125.1
R07895__cyto,308.547044,329.943821,416,,-4000.0,seq2topt_seq2tm,XP_085452799.1
R01072__cyto,311.62356,329.377261,534,,-4000.0,seq2topt_seq2tm,XP_085450394.1
R01187__cyto,305.91118,326.109538,451,,-4000.0,seq2topt_seq2tm,XP_085455657.1
R02464__cyto,309.953377,325.979415,594,,-4000.0,seq2topt_seq2tm,XP_085452156.1
R00548__cyto,306.351292,329.6693,163,,-4000.0,seq2topt_seq2tm,XP_085455287.1
R00768__cyto,314.380202,327.489671,684,,-4000.0,seq2topt_seq2tm,XP_085454342.1
R00243__cyto,307.025209,328.324881,1061,,-4000.0,seq2topt_seq2tm,XP_085450770.1
R03293__cyto,305.822467,331.275156,276,,-4000.0,seq2topt_seq2tm,XP_085455185.1
R04639__cyto,307.965874,326.82794,283,,-4000.0,seq2topt_seq2tm,XP_085450867.1
R03657__cyto,303.695679,325.54948,926,,-4000.0,seq2topt_seq2tm,XP_085453037.1
R01466__cyto,308.102856,325.353429,516,,-4000.0,seq2topt_seq2tm,XP_085451280.1
R03652__cyto,317.486407,331.781438,794,,-4000.0,seq2topt_seq2tm,XP_085454975.1
R02295__cyto,308.885375,330.636433,307,,-4000.0,seq2topt_seq2tm,XP_085452422.1
R09419__cyto,294.240687,328.255126,323,,-4000.0,seq2topt_seq2tm,XP_085455607.1
R09076__cyto,304.505109,330.976144,471,,-4000.0,seq2topt_seq2tm,XP_085451092.1
R07764__cyto,307.79592,326.830152,673,,-4000.0,median,
R00827__cyto,304.781098,326.507172,426,,-4000.0,seq2topt_seq2tm,XP_085455431.1
R02249__cyto,307.79592,326.830152,513,,-4000.0,median,
R03357__cyto,315.878555,331.947371,231,,-4000.0,seq2topt_seq2tm,XP_085454179.1
R02874__cyto,298.245123,327.745762,494,,-4000.0,seq2topt_seq2tm,XP_085453095.1
R00248__cyto,307.79592,326.830152,2123,,-4000.0,median,XP_085453432.1
R01372__cyto,309.588832,327.166066,478,,-4000.0,seq2topt_seq2tm,XP_085452075.1
R08310__cyto,320.516631,326.642093,348,,-4000.0,seq2topt_seq2tm,XP_085455283.1
R02003__cyto,308.478226,326.08445,350,,-4000.0,seq2topt_seq2tm,XP_085454813.1
R04955__cyto,307.79592,326.830152,388,,-4000.0,median,
R00674__cyto,315.588004,330.982325,701,,-4000.0,seq2topt_seq2tm,XP_085455034.1
R07070__cyto,302.871494,326.358381,240,,-4000.0,seq2topt_seq2tm,XP_085452152.1
R02849__cyto,304.048865,327.563044,504,,-4000.0,seq2topt_seq2tm,XP_085455502.1
R02413__cyto,302.950959,326.421985,1566,,-4000.0,seq2topt_seq2tm,XP_085452194.1
R01398__cyto,308.531749,326.201054,338,,-4000.0,seq2topt_seq2tm,XP_085451380.1
R04208__cyto,311.706948,329.589906,791,,-4000.0,seq2topt_seq2tm,XP_085453937.1
R12366__cyto,310.838413,326.785591,907,,-4000.0,seq2topt_seq2tm,XP_085454552.1
R01030__cyto,303.93146,324.725166,1289,,-4000.0,seq2topt_seq2tm,XP_085450963.1
R08306__mito,320.516631,326.642093,348,,-4000.0,seq2topt_seq2tm,XP_085455283.1
R00264__cyto,305.361421,330.477223,512,,-4000.0,seq2topt_seq2tm,XP_085453865.1
R03416__cyto,307.79592,326.830152,1541,,-4000.0,median,
R08551__cyto,307.79592,326.830152,679,,-4000.0,median,
R01956__cyto,318.269026,332.438782,435,,-4000.0,seq2topt_seq2tm,XP_085455643.1
R02722__cyto,315.588004,330.982325,701,,-4000.0,seq2topt_seq2tm,XP_085455034.1
R00220__pero,303.026515,324.520025,570,,-4000.0,seq2topt_seq2tm,XP_085454794.1
R02549__cyto,305.361421,330.477223,512,,-4000.0,seq2topt_seq2tm,XP_085453865.1
R02029__mito,307.79592,326.830152,214,,-4000.0,median,
R02739__cyto,308.641433,326.387593,304,,-4000.0,seq2topt_seq2tm,XP_085451881.1
R08221__cyto,300.819579,332.512072,139,,-4000.0,seq2topt_seq2tm,XP_085455436.1
R00351__pero,322.346488,344.173822,461,,-4000.0,seq2topt_seq2tm,XP_085454362.1
R08310__mito,320.516631,326.642093,348,,-4000.0,seq2topt_seq2tm,XP_085455283.1
R01330__cyto,304.048865,327.563044,504,,-4000.0,seq2topt_seq2tm,XP_085455502.1
