label,ll_production,ll_validation_1,ll_validation_2,diag_1,diag_2,max_diff,inert
prior17303:8,-50.43642843275274,-50.436428432730054,-50.436428445218084,"[0.24107954544228077, 0.8895385126025783]","[0.2644379360555324, 0.35292381521404104]",1.24653425359611e-08,False
prior17303:9,-inf,-inf,-inf,"[0.330516820017894, 0.7785414587061054]","[0.26742797286986475, 0.8478210921418128]",0.0,True
prior17303:10,-38.87168607288321,-38.87168607287927,-38.87168607287314,"[0.25445116833208453, 0.3909526716214275]","[0.26931907507717456, 0.9821366366672267]",1.006839056572062e-11,False
prior17303:11,-61.87109267856877,-61.87109267804562,-61.87109267886857,"[0.28087138819169516, 0.6959689393582545]","[0.25839080748635634, 0.9462750753264632]",5.23151300058089e-10,False
prior17303:12,-inf,-inf,-inf,"[0.2723269396956241, 0.7496362718231965]","[0.3043092550829643, 0.7942391495721344]",0.0,True
prior17303:13,-298.56311524567997,-298.56311524568076,-298.56311524567707,"[0.2843077467740846, 0.722677663344524]","[0.2868614839636083, 0.49339384007983583]",2.8990143619012088e-12,False
prior17303:14,-35.80947176013113,-35.809471760112544,-35.80947176012808,"[0.284419632373982, 0.8613878011502981]","[0.33037210757772106, 0.9526330603213794]",1.858779796748422e-11,False
prior17303:15,-404.4126731873439,-404.41264334078977,-404.41267312751415,"[0.2931008661188101, 0.6529174442649057]","[0.30642223454650036, 0.6255717886179661]",2.984655412774373e-05,False
prior17303:16,-inf,-inf,-inf,"[0.290878954995608, 0.6405785344349773]","[0.23332381916501868, 0.9043344391318783]",0.0,True
prior17303:17,-56.97550918915289,-56.975509189148326,-56.97550918915247,"[0.23894276905652984, 0.8352844771970144]","[0.25106164360232247, 0.9330139715387062]",4.561684363579843e-12,False
prior17303:18,-165.03888090708014,-165.03888090701648,-165.03888090693482,"[0.2870524285434972, 0.4428057385951113]","[0.26885933283718433, 0.9352422392440375]",1.453202003176557e-10,False
prior17303:19,-270.7909022693228,-270.79090226932294,-270.7909022693237,"[0.3445645495644891, 0.8305641351771997]","[0.2542628114412636, 0.5773934475302489]",8.526512829121202e-13,True
prior17303:20,-inf,-inf,-inf,"[0.2575888887211892, 0.6326040939598847]","[0.2991779033183864, 0.7283287944303815]",0.0,True
prior17303:21,-34.14846998051067,-34.14846998046691,-34.148469980483114,"[0.33149210607228236, 0.7407732134546662]","[0.3040345504603819, 0.9102415226378924]",4.375522166810697e-11,False
prior17303:22,-45.57408572592026,-45.57408572659126,-45.574085725903075,"[0.24336431343892623, 0.33548774934824954]","[0.28988487550626074, 0.532034681587884]",6.70993927087693e-10,False
prior17303:23,-212.52886516786538,-212.52886516774538,-212.5288651676647,"[0.2777586117350865, 0.8986642789812783]","[0.27596625099038385, 0.7825119630049643]",2.006856902880827e-10,False
prior17303:24,-144.15337515298154,-144.15337515296292,-144.15337515292617,"[0.2658761813307596, 0.5157312536712761]","[0.2582041850810048, 0.709261250244436]",5.5365489970427006e-11,False
prior17303:25,-49.82119424363633,-49.82119424363695,-49.82119424363644,"[0.28165807578871677, 0.5436413199192377]","[0.28384549100345163, 0.6932291391404771]",6.252776074688882e-13,True
prior17303:26,-37.06111944173548,-37.061119441731435,-37.06111944173537,"[0.3111959294928832, 0.9336980866082779]","[0.3168251261061811, 0.8349911725827802]",4.04298816647497e-12,False
prior17303:27,-50.73794788818785,-50.737947954853155,-50.73794777976076,"[0.22009082619697048, 0.5738602423740222]","[0.2931482169870255, 0.8789765578442996]",1.0842708775271603e-07,False
prior17303:28,-29.01926142195289,-29.01926142195196,-29.019261421936044,"[0.22620821246923983, 0.5031430063286689]","[0.2864327602746075, 0.8329014532442005]",1.6846968264871975e-11,False
prior17303:29,-24.6334786567313,-24.633478657089114,-24.633478656388522,"[0.27283617151215867, 0.46494972499380377]","[0.2766949073904575, 0.6442999208178296]",3.5781511087407125e-10,False
prior17303:30,-48.27243663814801,-48.27243663013762,-48.27243662581334,"[0.2379991178041334, 0.8833408205279232]","[0.22903473197470925, 0.40407216453994177]",1.233466662142746e-08,False
prior17303:31,-inf,-inf,-inf,"[0.2535884966416675, 0.8453201391077383]","[0.23567658320766463, 0.4399418506711144]",0.0,True
prior17303:32,-38.19130423263009,-38.19130423263434,-38.19130423263242,"[0.32582401317976406, 0.7509770858181853]","[0.2870769620103597, 0.9233408564691457]",4.249045559845399e-12,False
prior17303:33,-61.932819807785684,-61.932819807802986,-61.93281980781356,"[0.34691430331453876, 0.7913976801962758]","[0.2664226187034383, 0.7858482919632271]",2.787459152386873e-11,False
prior17303:34,-98.48595164587954,-98.48595164585944,-98.48595164585096,"[0.26996037430097763, 0.8860798594608783]","[0.3140179744723621, 0.6981750102712908]",2.857802883227123e-11,False
prior17303:35,-51.258807569488816,-51.25880756948863,-51.258807569490926,"[0.3048943989108859, 0.8409331011533965]","[0.23024296190638727, 0.5686982278961605]",2.1103119252074976e-12,False
prior17303:36,-127.60113399707737,-127.60113399708682,-127.60113399708075,"[0.2510688316768995, 0.9358594376697512]","[0.2253027832037559, 0.6869230086769885]",9.450218385609332e-12,False
prior17303:37,-51.67692763911297,-51.67692760675371,-51.67692759950651,"[0.33487526396658995, 0.7995839242333549]","[0.304091297079968, 0.8531063126314437]",3.960645500455939e-08,False
prior17303:38,-73.39159702281017,-73.39159702261784,-73.3915970225441,"[0.2790156488667637, 0.7189553731888696]","[0.28130578558417196, 0.9263946265070573]",2.660698328327271e-10,False
prior17303:39,-39.12759294977732,-39.12759294977698,-39.127592949777835,"[0.2622996360600949, 0.8238929384339042]","[0.2937605652505247, 0.9716415684739839]",5.115907697472721e-13,True
prior17303:40,-40.745506437828475,-40.74550643742562,-40.74550643824118,"[0.2559397443569744, 0.7970227526618885]","[0.2655294044716141, 0.9143666642165863]",4.12704537211539e-10,False
prior17303:41,-35.98627090529847,-35.986270905302256,-35.98627090525945,"[0.27870986510854545, 0.8735553539074237]","[0.29635437286566013, 0.7524248590615555]",3.90159016205871e-11,False
prior17303:42,-125.90670123252939,-125.90670123252985,-125.90670123252696,"[0.2909245356433682, 0.6827192818002928]","[0.26863764862387707, 0.9309992930216408]",2.4300561562995426e-12,False
prior17303:43,-219.1584919338083,-219.15849193381413,-219.15849193380927,"[0.29918149096898466, 0.7108935987750838]","[0.2824408005475812, 0.9948444678392018]",5.8264504332328215e-12,False
prior17303:44,-inf,-inf,-inf,"[0.2829207323385423, 0.8439613630109276]","[0.24937432425972114, 0.4140048605329477]",0.0,True
prior17303:45,-207.14503439394124,-207.14503439393124,-207.1450343939302,"[0.24853293853334513, 0.9083490476732746]","[0.33247623741075905, 0.7915995628162328]",1.1056044968427159e-11,False
prior17303:46,-79.60156568992147,-79.6015656898943,-79.6015656899136,"[0.24144238817153385, 0.9697613919281954]","[0.2626101181454043, 0.9958592036010884]",2.717115421546623e-11,False
prior17303:47,-42.41723077051125,-42.41723077052116,-42.41723077051364,"[0.26541380686944255, 0.6088186982644047]","[0.28884904021594804, 0.5426226788606598]",9.904965736495797e-12,False
prior17303:48,-41.58173358888487,-41.58173358895078,-41.58173358888861,"[0.3282300788508533, 0.7697917216085137]","[0.23771917224026468, 0.7628942430725714]",6.590994416910689e-11,False
prior17303:49,-49.6684240872231,-49.66842409956969,-49.668424052450874,"[0.2931079735281298, 0.8438196089214015]","[0.30113820137937747, 0.8126298139092991]",3.477222776382405e-08,False
prior17303:50,-149.80313222840977,-149.8031322280429,-149.8031322272688,"[0.21973356081027443, 0.8561082394380513]","[0.28528122592210065, 0.6325934895556773]",1.1409611033741385e-09,False
prior17303:51,-63.06488527145552,-63.06488527145536,-63.06488527145562,"[0.26571095539883566, 0.907937665003449]","[0.2657083188563586, 0.817167303304845]",1.6342482922482304e-13,True
prior17303:52,-inf,-inf,-inf,"[0.2918434618114702, 0.22503529269306094]","[0.32849585744453746, 0.9961888934489713]",0.0,True
prior17303:53,-57.6233387247394,-57.62333872474385,-57.623338724778264,"[0.2670963743121814, 0.6942373720439174]","[0.2783104790542378, 0.6530500255908913]",3.886668764607748e-11,False
prior17303:54,-50.21297008439436,-50.21297009131601,-50.212970091813546,"[0.2924558274782472, 0.7011515179960206]","[0.2905132884866045, 0.21608922664657357]",7.419188818857947e-09,False
prior17303:55,-40.938114681037646,-40.93811468101378,-40.93811468105227,"[0.2587924647682318, 0.6945814305410879]","[0.29770016648277164, 0.9555501513686733]",2.3867130494181765e-11,False
prior17303:56,-inf,-inf,-inf,"[0.30855058736343133, 0.7269732680588247]","[0.3171727198546178, 0.8664977040101276]",0.0,True
prior17303:57,-149.14379865432508,-149.14379864998926,-149.1437987118624,"[0.33090707116310714, 0.9434637484608949]","[0.37423135954346753, 0.7166769895237904]",5.75373064748419e-08,False
prior17303:58,-58.806405413659554,-58.80640541415446,-58.80640541396638,"[0.22614986774499685, 0.31536181088509835]","[0.2894916615464378, 0.25439005443594515]",4.94907226311625e-10,False
prior17303:59,-inf,-inf,-inf,"[0.2900640514738156, 0.7395123430778078]","[0.28432324403898424, 0.946258120664792]",0.0,True
prior17303:60,-inf,-inf,-inf,"[0.3057528343151188, 0.9660448766093486]","[0.2904840088285116, 0.5837513271479366]",0.0,True
prior17303:61,-inf,-inf,-inf,"[0.30415166532954097, 0.8187162411227421]","[0.3097045812968283, 0.9245157489050545]",0.0,True
prior17303:62,-inf,-inf,-inf,"[0.32461120424832746, 0.3015714338768237]","[0.26434653946728154, 0.6150653523672532]",0.0,True
prior17303:63,-29.572157835685502,-29.572157842416793,-29.57215784722297,"[0.2725789425062683, 0.2116628382138829]","[0.345423674881619, 0.9099568252487424]",1.1537469646327736e-08,False
prior17303:64,-96.13039812396985,-96.13039812626869,-96.13039814869474,"[0.30676110284398256, 0.9456803412945063]","[0.29453747644634376, 0.5871602309098845]",2.4724883473936643e-08,False
prior17303:65,-inf,-inf,-inf,"[0.27678207931425614, 0.39984946090871615]","[0.31738760424377027, 0.789466372002863]",0.0,True
prior17303:66,-28.42714563894063,-28.427145638939805,-28.427145638940345,"[0.3184248780605181, 0.4617848468641925]","[0.2844455426427533, 0.5654841546122112]",8.242295734817162e-13,True
prior17303:67,-45.92163121911722,-45.921631219155294,-45.92163121922755,"[0.3120786874383519, 0.9517810130902147]","[0.3144346871708673, 0.5929792588389894]",1.1033307600882836e-10,False
prior17303:68,-80.21473893149422,-80.2147389272483,-80.21473892818561,"[0.2578716461910251, 0.7841761626159147]","[0.3106955828689347, 0.8727202553979725]",4.245919171808055e-09,False
prior17303:69,-33.31224333779841,-33.31224333780622,-33.312243337801235,"[0.24303096695018928, 0.6296661529144009]","[0.22368768941078074, 0.9582022687783848]",7.815970093361102e-12,False
prior17303:70,-57.88796627440948,-57.887966274367756,-57.887966274485606,"[0.26361946587619534, 0.8091513727259964]","[0.2878405777156419, 0.9398132959268483]",7.612754870933713e-11,False
prior17303:71,-29.89782224589507,-29.897822245892705,-29.897822245897228,"[0.2778280203405093, 0.6319867906787301]","[0.3309581598202473, 0.9407253136537224]",2.3661073100811336e-12,False
prior17303:72,-148.12822313816497,-148.12822316598644,-148.12822314755581,"[0.26990172069292306, 0.5370831285546821]","[0.20885343554903102, 0.8888821468268129]",2.7821471348943305e-08,False
prior17303:73,-45.831153409528454,-45.83115340952976,-45.83115340952898,"[0.26922688585896903, 0.964795474882215]","[0.35732692942846933, 0.5326226505067351]",1.3073986337985843e-12,False
prior17303:74,-47.418165641029375,-47.41816564101386,-47.418165641020266,"[0.21760163978796512, 0.8331876687960927]","[0.24625860270621175, 0.6371032420945284]",1.5518253349000588e-11,False
prior17303:75,-31.11515112903293,-31.115151129043404,-31.11515113207553,"[0.2902000406917219, 0.5445119128049576]","[0.2606047036087596, 0.8556251313574206]",3.042597285229931e-09,False
prior17303:76,-57.19087729411011,-57.1908772888592,-57.190877285877626,"[0.26307602361426113, 0.9730503302343155]","[0.2426802572989419, 0.16305856539213362]",8.232483139636315e-09,False
prior17303:77,-42.03077886617524,-42.03077886619574,-42.03077886622214,"[0.2839118908631334, 0.9574981282308646]","[0.31164604674056184, 0.9975282118680632]",4.6902925987524213e-11,False
prior17303:78,-112.98105704423561,-112.98105704425367,-112.9810570443848,"[0.3075776094773758, 0.16049222950172193]","[0.3069622339510756, 0.5707303671981876]",1.4918555280019064e-10,False
prior17303:79,-inf,-inf,-inf,"[0.25241320622430513, 0.996114430239151]","[0.2782473723029224, 0.9013799295320202]",0.0,True
prior17303:80,-72.11952598946023,-72.1195259895602,-72.11952598950916,"[0.2879396747791959, 0.8055601951649014]","[0.2908534974945501, 0.577786714726262]",9.99733629214461e-11,False
prior17303:81,-85.00274756754676,-85.00274756754938,-85.00274756754624,"[0.25571817888151527, 0.518629364885055]","[0.25701128046023924, 0.9419458763537372]",2.6147972675971687e-12,False
prior17303:82,-50.58787214969938,-50.58787215018411,-50.587872149650664,"[0.25901333157046524, 0.9756387553911939]","[0.3047754684744134, 0.935558829452221]",4.847322543355403e-10,False
prior17303:83,-191.71159973503222,-191.71159973494878,-191.7115997348208,"[0.2943843429237957, 0.8532626591611029]","[0.3321506328195627, 0.8241371695588531]",2.114290964527754e-10,False
prior17303:84,-36.51043671544905,-36.51043671576789,-36.5104367154548,"[0.2754688226689583, 0.7812611030803319]","[0.24452727212400877, 0.8143281912818773]",3.1883473639027216e-10,False
prior17303:85,-558.3023960232093,-558.3023960232098,-558.3023960234194,"[0.3039827513423199, 0.8670717782319609]","[0.20567601334098462, 0.626317730711362]",2.1009327610954642e-10,False
prior17303:86,-43.388746458238316,-43.388746454864375,-43.3887464549275,"[0.257702941350069, 0.7053426348234788]","[0.23316192369684458, 0.8441609586139117]",3.3739411264832597e-09,False
