id,target,pred_tm
Sequence15928,45.2949851545514,58.300006
Sequence5249,44.7074262917598,58.603972
Sequence20129,49.8754459506377,57.262748
Sequence22655,49.1919101264967,61.700451
Sequence12014,47.8666859692134,50.902104
Sequence8473,51.0230764526325,55.631387
Sequence9199,53.9754131192119,64.353746
Sequence22116,59.7153463155629,57.188022
Sequence23568,49.4372371454272,55.040824
Sequence19894,45.0760575858417,53.50095
Sequence12225,54.8117365024381,57.279217
Sequence11045,32.4858096129676,56.292641
Sequence434,67.3980366802193,67.238402
Sequence4734,46.9728461439703,58.085084
Sequence16223,51.8836812851496,56.508851
Sequence15015,56.3090584566617,55.096364
Sequence4647,62.8261300338075,73.321551
Sequence25626,47.9538023776956,53.83746
Sequence1655,51.4285435129408,57.804036
Sequence3392,49.7003046885027,56.232458
Sequence9894,46.5276714640573,60.769278
Sequence24559,53.765441945353,55.686128
Sequence13111,76.5859876954315,67.265791
Sequence16026,41.8694654947445,54.770625
Sequence13479,83.0836235643298,81.940675
Sequence8211,40.1134102388178,55.680907
Sequence357,72.0355540646107,65.924639
Sequence21112,51.2755462007415,53.40184
Sequence9419,43.5406060994666,51.790279
Sequence9843,45.1964483346918,54.232168
Sequence8527,46.8880717879271,51.120627
Sequence25957,48.4998761626592,53.555894
Sequence14828,45.8039067553079,52.561241
Sequence19810,41.590649555247,55.042082
Sequence21098,55.4424436253263,52.657872
Sequence24445,48.9841802355153,52.608883
Sequence4733,45.1160263751006,57.823718
Sequence5550,45.248744274134,58.534229
Sequence2042,50.1174221093554,53.499717
Sequence11359,40.6353051514805,51.778901
Sequence23942,51.2332110036414,53.817523
Sequence10584,50.3832713240993,49.866828
Sequence22857,51.5067940319097,58.234406
Sequence2214,48.6469894042724,50.791574
Sequence4774,49.1491528710426,59.35868
Sequence17392,47.9658228300653,53.237081
Sequence16922,45.3282384568712,54.860139
Sequence11685,49.6217690230011,57.139009
Sequence3419,40.8335015640971,57.743979
Sequence16511,43.7411758003155,51.975906
Sequence17362,50.0894174379227,53.779751
Sequence14740,48.4417795624675,52.449602
Sequence8911,41.6339276822809,56.501001
Sequence15474,41.2087515308126,51.464343
Sequence15738,43.5875200917024,52.602232
Sequence5540,42.9276561675012,56.210077
Sequence3856,46.6721524363752,59.686321
Sequence6157,44.294857456476,57.392764
Sequence5067,57.0968184901646,58.579236
Sequence18975,48.9664509027531,56.741375
Sequence17165,49.454864493796,53.344572
Sequence19767,38.4230207226264,55.488044
Sequence5377,63.9895543953236,61.103868
Sequence23944,52.4515623405655,52.603042
Sequence20458,52.3443529169886,55.294603
Sequence20768,61.8983571179134,57.211137
Sequence2191,52.4759783077078,54.409409
Sequence14555,89.3438298266064,86.620295
Sequence1109,46.9120672841887,54.543841
Sequence20062,49.4567943965311,53.357136
Sequence10571,49.2641670511596,55.66628
Sequence25857,65.1633791000166,52.521628
Sequence5395,58.0028397472108,57.145095
Sequence22831,52.5901821380297,51.762527
Sequence4133,42.4815769044607,54.37305
Sequence13404,50.9745834323988,52.442569
Sequence13655,75.1541313630373,81.068695
Sequence22395,52.4727722622918,52.908456
Sequence17251,50.5444547723394,55.571359
Sequence1905,45.8158713974122,54.787612
Sequence9408,44.7700403640498,58.810365
Sequence6801,52.3925028060424,53.570884
Sequence13695,94.4469690163075,87.801707
Sequence158,70.424984727965,69.590646
